sep=,
Data Mastering,Country,Region,Block,Prospect,Field Name,Well Name,UBHI,Wellbore Name,Wellbore Common Name,Current Operator,Original Operator,Well Existence,Wellbore Situation,Start Date,Spud Date,Spud Year,Completion Date,Abandon Date,TD Date,Water Depth [m],Ground Elevation [m],Total Depth [m],TVDDF [m],TVDSS [m],Reference Point (for TD),DF Elevation [m],KB Elevation [m],RT Elevation [m],Original Vertical Measurement Unit,Phase,Preferred Name,Wellbore Classification,Current Status,Hydrocarbon Type,Trajectory Shape,Top Latitude,Top Longitude,QC Status,Resource Security Classification,App Readiness,Default Vertical Measurement ID,Definitive Trajectory ID
Master,Malaysia,SB,SAMARANG,,SAMARANG,SAMARANG-E48,1000043232,SAMARANG-E48ST3,SM-E48ST3,,PETRONAS CARIGALI SDN. BHD.,Planned,Offshore,,,,,,,,,,,,,,,,,Develop,1000043232,,,,,,,Medium,INTERNAL USE,false,MSL,
Master,Malaysia,SK,SK320,TURI,,TURI NORTH-1,1000043231,TURI NORTH-1,TURI NORTH-1,,MDC OIL & GAS (SK320) LTD,Planned,Offshore,,,,,,,105.13,,,,,,,,,metre,Explore,1000043231,,,,,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,,,,ANGSI BESAR-A6,1000043253,ANGSI BESAR-A6,ANGSI BESAR-A6,,PCSB,Planned,,,,,,,,,,,,,,,,,,,1000043253,,,,,,,Medium,INTERNAL USE,false,,
Master,Malaysia,SB,SB409,PIRUS (NIKEL SOUTH),,NIKEL SOUTH-1,1000042950,NIKEL SOUTH-1,NIKEL SOUTH-1,,PETRONAS CARIGALI SDN. BHD.,Planned,Offshore,,,,,,,,,,,,,,,,,Explore,1000042950,,,,,,,Medium,INTERNAL USE,false,MSL,
Master,Malaysia,SK,,,,TIMPANI-1,1000043242,TIMPANI-1,TIMPANI-1,,PTTEP HK OFFSHORE LIMITED,Planned,Offshore,,,,,,,,,,,,,,,,,Explore,1000043242,[Explore],,,,,,Medium,INTERNAL USE,false,MSL,
Master,Malaysia,SK,SK315,,,CEMUMAR-1,1000040665,CEMUMAR-1,CEMUMAR-1,PETRONAS CARIGALI SDN. BHD.,PETRONAS CARIGALI SDN. BHD.,Actual,Offshore,,08-6-2024,2024,,,,80.30,,2281.00,2280.97,2248.47,DF,32.50,,,metre,Explore,1000040665,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],,,Vertical,4.389041,111.763770,High,INTERNAL USE,true,MSL,CEMUMAR-1 - Trajectory
Master,Malaysia,SK,SK315,,,CEMUMAR-1,1000040750,CEMUMAR-1ST1,CEMUMAR-1ST1,PETRONAS CARIGALI SDN. BHD.,PETRONAS CARIGALI SDN. BHD.,Actual,Offshore,,08-6-2024,2024,,,,80.30,,2425.00,2424.17,2391.67,DF,32.50,,,metre,Explore,1000040750,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],,,,4.389041,111.763770,High,INTERNAL USE,true,MSL,CEMUMAR-1ST1 - Trajectory
Master,Malaysia,SB,,,,SUMANDAK TENGAH-2,1000043255,SUMANDAK TENGAH-2,SUMANDAK TENGAH-2,,PCSB,Planned,,,,,,,,,,,,,,,,,,,1000043255,,,,,,,Medium,INTERNAL USE,false,,
Master,Malaysia,SK,,,,BARAM-117,1000043066,BARAM-117,BARAM-117,,PETRONAS CARIGALI SDN. BHD.,Planned,Offshore,,,,,,,,,,,,,,,,,Explore,1000043066,,,,,,,Medium,INTERNAL USE,false,,
Master,Malaysia,PM,PM3CAA,,BUNGA ASTER,BUNGA ASTER-2,1000043254,BUNGA ASTER-2,BUNGA ASTER-2,HIBISCUS OIL & GAS MALAYSIA LIMITED,HIBISCUS OIL & GAS MALAYSIA LIMITED,Planned,Offshore,,,,,,,,,,,,,,,,,Development While Exploration,1000043254,,,,,,,Medium,INTERNAL USE,false,MSL,
Master,Malaysia,SK,SK417,,NANGKA,NANGKA-1,1000040004,NANGKA-1,NK-1,PTTEP SARAWAK OIL LIMITED,PTTEP SARAWAK OIL LIMITED,Actual,Offshore,06-6-2021,30-6-2021,2021,19-9-2021,,25-8-2021,77.00,,3758.00,3565.37,3533.37,RT,,,32.00,metre,Explore,1000040004,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],,,Deviated,4.777945,113.761786,High,INTERNAL USE,true,MSL,petronas-osdu:work-product-component--WellboreTrajectory:f24b4492db4a4a65b39206e7068544d6:
